Developer,Repo Name,Number of Stars
pkivolowitz,asm_book,875
f,awesome-chatgpt-prompts,"9,736"
louislam,uptime-kuma,"26,637"
google,comprehensive-rust,"1,643"
obsproject,obs-studio,"43,895"
adrianhajdin,project_openai_codex,117
louisfb01,best_AI_papers_2022,"1,250"
mouredev,Hello-Python,"4,751"
dreamncn,ParallelsDesktopCrack,460
MichaelCade,90DaysOfDevOps,"20,427"
recloudstream,cloudstream,"2,056"
flipperdevices,flipperzero-firmware,"4,610"
rust-lang,book,"11,006"
Immediate-Mode-UI,Nuklear,"6,720"
judygab,web-dev-projects,855
public-apis,public-apis,"221,597"
TapXWorld,Math,483
Grasscutters,Grasscutter,"12,041"
towfiqi,serpbear,559
iptv-org,iptv,"59,967"
bvaughn,react-resizable-panels,391
openai,gpt-discord-bot,247
TanStack,query,"31,808"
microsoft,Web-Dev-For-Beginners,"61,952"
dani-garcia,vaultwarden,"20,917"
