Developer,Repo Name,Number of Stars
tw93,Pake,"4,298"
shinework,photoshot,439
exaloop,codon,"2,307"
louislam,uptime-kuma,"24,978"
hwchase17,langchain,848
AUTOMATIC1111,stable-diffusion-webui,"24,668"
charmbracelet,glow,"11,022"
869413421,wechatbot,627
TheLastBen,fast-stable-diffusion,"2,890"
fuergaosi233,wechat-chatgpt,"3,292"
f,awesome-chatgpt-prompts,"3,534"
AutumnWhj,ChatGPT-wechat-bot,792
deepmind,dramatron,291
revanced,revanced-patches,"2,154"
tiann,KernelSU,322
humanloop,awesome-chatgpt,"1,409"
ange-yaghi,engine-sim,"7,042"
iptv-org,iptv,"59,299"
pulsar-edit,pulsar,528
UberGuidoZ,Flipper,"3,219"
gragland,chatgpt-chrome-extension,609
wechaty,wechaty,"14,171"
holbertonschool,Betty,693
Grasscutters,Grasscutter,"11,865"
GitHubDaily,GitHubDaily,"17,601"
